productkey,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category
1,contoso_512mb_mp3_player_e51_silver,contoso,silver,6.62,12.99,101,mp4mp3,1,audio
2,contoso_512mb_mp3_player_e51_blue,contoso,blue,6.62,12.99,101,mp4mp3,1,audio
3,contoso_1g_mp3_player_e100_white,contoso,white,7.4,14.52,101,mp4mp3,1,audio
4,contoso_2g_mp3_player_e200_silver,contoso,silver,11.0,21.57,101,mp4mp3,1,audio
5,contoso_2g_mp3_player_e200_red,contoso,red,11.0,21.57,101,mp4mp3,1,audio
6,contoso_2g_mp3_player_e200_black,contoso,black,11.0,21.57,101,mp4mp3,1,audio
7,contoso_2g_mp3_player_e200_blue,contoso,blue,11.0,21.57,101,mp4mp3,1,audio
8,contoso_4g_mp3_player_e400_silver,contoso,silver,30.58,59.99,101,mp4mp3,1,audio
9,contoso_4g_mp3_player_e400_black,contoso,black,30.58,59.99,101,mp4mp3,1,audio
10,contoso_4g_mp3_player_e400_green,contoso,green,30.58,59.99,101,mp4mp3,1,audio
11,contoso_4g_mp3_player_e400_orange,contoso,orange,30.58,59.99,101,mp4mp3,1,audio
12,contoso_4gb_flash_mp3_player_e401_blue,contoso,blue,35.72,77.68,101,mp4mp3,1,audio
13,contoso_4gb_flash_mp3_player_e401_black,contoso,black,35.72,77.68,101,mp4mp3,1,audio
14,contoso_4gb_flash_mp3_player_e401_silver,contoso,silver,35.72,77.68,101,mp4mp3,1,audio
15,contoso_4gb_flash_mp3_player_e401_white,contoso,white,35.72,77.68,101,mp4mp3,1,audio
16,contoso_8gb_superslim_mp3video_player_m800_white,contoso,white,50.56,109.95,101,mp4mp3,1,audio
17,contoso_8gb_superslim_mp3video_player_m800_red,contoso,red,50.56,109.95,101,mp4mp3,1,audio
18,contoso_8gb_superslim_mp3video_player_m800_green,contoso,green,50.56,109.95,101,mp4mp3,1,audio
19,contoso_8gb_superslim_mp3video_player_m800_pink,contoso,pink,50.56,109.95,101,mp4mp3,1,audio
20,contoso_8gb_mp3_player_new_model_m820_black,contoso,black,61.62,134.0,101,mp4mp3,1,audio
21,contoso_8gb_mp3_player_new_model_m820_blue,contoso,blue,61.62,134.0,101,mp4mp3,1,audio
22,contoso_8gb_mp3_player_new_model_m820_yellow,contoso,yellow,61.62,134.0,101,mp4mp3,1,audio
23,contoso_8gb_mp3_player_new_model_m820_white,contoso,white,61.62,134.0,101,mp4mp3,1,audio
24,contoso_16gb_mp5_player_m1600_blue,contoso,blue,91.93,199.9,101,mp4mp3,1,audio
25,contoso_16gb_mp5_player_m1600_black,contoso,black,91.93,199.9,101,mp4mp3,1,audio
26,contoso_16gb_mp5_player_m1600_green,contoso,green,91.93,199.9,101,mp4mp3,1,audio
27,contoso_16gb_mp5_player_m1600_white,contoso,white,91.93,199.9,101,mp4mp3,1,audio
28,contoso_16gb_mp5_player_m1600_red,contoso,red,91.93,199.9,101,mp4mp3,1,audio
29,contoso_32gb_video_mp3_player_m3200_white,contoso,white,84.49,255.0,101,mp4mp3,1,audio
30,contoso_32gb_video_mp3_player_m3200_red,contoso,red,84.49,255.0,101,mp4mp3,1,audio
31,contoso_32gb_video_mp3_player_m3200_orange,contoso,orange,84.49,255.0,101,mp4mp3,1,audio
32,contoso_32gb_video_mp3_player_m3200_pink,contoso,pink,84.49,255.0,101,mp4mp3,1,audio
33,contoso_32gb_video_mp3_player_m3200_black,contoso,black,84.49,255.0,101,mp4mp3,1,audio
34,contoso_4gb_portable_mp3_player_m450_black,contoso,black,48.92,95.95,101,mp4mp3,1,audio
35,contoso_4gb_portable_mp3_player_m450_white,contoso,white,48.92,95.95,101,mp4mp3,1,audio
36,contoso_4gb_portable_mp3_player_m450_yellow,contoso,yellow,48.92,95.95,101,mp4mp3,1,audio
37,contoso_8gb_clock_radio_mp3_player_x850_silver,contoso,silver,99.14,299.23,101,mp4mp3,1,audio
38,contoso_8gb_clock_radio_mp3_player_x850_black,contoso,black,99.14,299.23,101,mp4mp3,1,audio
39,contoso_8gb_clock_radio_mp3_player_x850_green,contoso,green,99.14,299.23,101,mp4mp3,1,audio
40,contoso_8gb_clock_radio_mp3_player_x850_blue,contoso,blue,99.14,299.23,101,mp4mp3,1,audio
41,contoso_16gb_new_generation_mp5_player_m1650_silver,contoso,silver,106.69,232.0,101,mp4mp3,1,audio
42,contoso_16gb_new_generation_mp5_player_m1650_white,contoso,white,106.69,232.0,101,mp4mp3,1,audio
43,contoso_16gb_new_generation_mp5_player_m1650_black,contoso,black,106.69,232.0,101,mp4mp3,1,audio
44,contoso_16gb_new_generation_mp5_player_m1650_blue,contoso,blue,106.69,232.0,101,mp4mp3,1,audio
45,contoso_16gb_new_generation_mp5_player_m1650_pink,contoso,pink,106.69,232.0,101,mp4mp3,1,audio
46,wwi_1gb_pulse_smart_pen_e50_white,wide_world_importers,white,76.45,149.95,104,recording_pen,1,audio
47,wwi_1gbpulse_smart_pen_e50_black,wide_world_importers,black,76.45,149.95,104,recording_pen,1,audio
48,wwi_1gb_pulse_smart_pen_e50_silver,wide_world_importers,silver,76.45,149.95,104,recording_pen,1,audio
49,wwi_2gb_pulse_smart_pen_m100_white,wide_world_importers,white,91.95,199.95,104,recording_pen,1,audio
50,wwi_2gb_pulse_smart_pen_m100_black,wide_world_importers,black,91.95,199.95,104,recording_pen,1,audio
51,wwi_2gb_pulse_smart_pen_m100_blue,wide_world_importers,blue,91.95,199.95,104,recording_pen,1,audio
52,wwi_2gb_pulse_smart_pen_m100_silver,wide_world_importers,silver,91.95,199.95,104,recording_pen,1,audio
53,wwi_4gb_video_recording_pen_x200_black,wide_world_importers,black,98.07,296.0,104,recording_pen,1,audio
54,wwi_4gb_video_recording_pen_x200_red,wide_world_importers,red,98.07,296.0,104,recording_pen,1,audio
55,wwi_4gb_video_recording_pen_x200_pink,wide_world_importers,pink,98.07,296.0,104,recording_pen,1,audio
56,wwi_4gb_video_recording_pen_x200_yellow,wide_world_importers,yellow,98.07,296.0,104,recording_pen,1,audio
57,wwi_1gb_digital_voice_recorder_pen_e100_black,wide_world_importers,black,79.53,156.0,104,recording_pen,1,audio
58,wwi_1gb_digital_voice_recorder_pen_e100_red,wide_world_importers,red,79.53,156.0,104,recording_pen,1,audio
59,wwi_1gb_digital_voice_recorder_pen_e100_pink,wide_world_importers,pink,79.53,156.0,104,recording_pen,1,audio
60,wwi_1gb_digital_voice_recorder_pen_e100_white,wide_world_importers,white,79.53,156.0,104,recording_pen,1,audio
61,wwi_2gb_spy_video_recorder_pen_m300_black,wide_world_importers,black,83.24,181.0,104,recording_pen,1,audio
62,wwi_2gb_spy_video_recorder_pen_m300_white,wide_world_importers,white,83.24,181.0,104,recording_pen,1,audio
63,wwi_2gb_spy_video_recorder_pen_m300_blue,wide_world_importers,blue,83.24,181.0,104,recording_pen,1,audio
64,wwi_2gb_spy_video_recorder_pen_m300_silver,wide_world_importers,silver,83.24,181.0,104,recording_pen,1,audio
65,wwi_2gb_spy_video_recorder_pen_m300_purple,wide_world_importers,purple,83.24,181.0,104,recording_pen,1,audio
66,nt_bluetooth_stereo_headphones_e52_blue,northwind_traders,blue,13.1,25.69,106,bluetooth_headphones,1,audio
67,nt_bluetooth_stereo_headphones_e52_black,northwind_traders,black,13.1,25.69,106,bluetooth_headphones,1,audio
68,nt_bluetooth_stereo_headphones_e52_yellow,northwind_traders,yellow,13.1,25.69,106,bluetooth_headphones,1,audio
69,nt_bluetooth_stereo_headphones_e52_pink,northwind_traders,pink,13.1,25.69,106,bluetooth_headphones,1,audio
70,nt_wireless_bluetooth_stereo_headphones_e102_silver,northwind_traders,silver,22.05,47.95,106,bluetooth_headphones,1,audio
71,nt_wireless_bluetooth_stereo_headphones_e102_black,northwind_traders,black,22.05,47.95,106,bluetooth_headphones,1,audio
72,nt_wireless_bluetooth_stereo_headphones_e102_blue,northwind_traders,blue,22.05,47.95,106,bluetooth_headphones,1,audio
73,nt_wireless_bluetooth_stereo_headphones_e102_white,northwind_traders,white,22.05,47.95,106,bluetooth_headphones,1,audio
74,nt_bluetooth_active_headphones_e202_black,northwind_traders,black,17.45,37.95,106,bluetooth_headphones,1,audio
75,nt_bluetooth_active_headphones_e202_white,northwind_traders,white,17.45,37.95,106,bluetooth_headphones,1,audio
76,nt_bluetooth_active_headphones_e202_red,northwind_traders,red,17.45,37.95,106,bluetooth_headphones,1,audio
77,nt_bluetooth_active_headphones_e202_silver,northwind_traders,silver,17.45,37.95,106,bluetooth_headphones,1,audio
78,nt_wireless_bluetooth_stereo_headphones_e302_silver,northwind_traders,silver,18.65,40.55,106,bluetooth_headphones,1,audio
79,nt_wireless_bluetooth_stereo_headphones_e302_white,northwind_traders,white,18.65,40.55,106,bluetooth_headphones,1,audio
80,nt_wireless_bluetooth_stereo_headphones_e302_yellow,northwind_traders,yellow,18.65,40.55,106,bluetooth_headphones,1,audio
81,nt_wireless_bluetooth_stereo_headphones_e302_black,northwind_traders,black,18.65,40.55,106,bluetooth_headphones,1,audio
82,nt_wireless_bluetooth_stereo_headphones_e302_pink,northwind_traders,pink,18.65,40.55,106,bluetooth_headphones,1,audio
83,nt_wireless_bluetooth_stereo_headphones_m402_silver,northwind_traders,silver,45.98,99.99,106,bluetooth_headphones,1,audio
